registro_id,school,age_group,sex,medu,fedu,absences,failures_mat,failures_por,g1_mat,g2_mat,g3_mat,g1_por,g2_por,g3_por,studytime_mat,studytime_por,schoolsup_mat,schoolsup_por,internet,higher,paid,famsup,traveltime,goout,dalc,walc,health,freetime,id_profesor,seccion,g1_mat_gauss,g2_mat_gauss,g3_mat_gauss,g1_por_gauss,g2_por_gauss,g3_por_gauss,g1_mat_elipson,g2_mat_elipson,g3_mat_elipson,g1_por_elipson,g2_por_elipson,g3_por_elipson,registro_id_enc,school_enc,age_group_enc,sex_enc,id_profesor_enc,seccion_enc
E00000001,A,15-17,0,Superior,Superior,1,0,3,7,9,1,10,9,9,2,1,yes,no,yes,yes,no,yes,1,5,1,3,5.0,1,P00000001,1,6.666955929663315,8.28749098600916,-1.043378657440953,11.049015876836723,12.126774507164129,6.54100913312074,6.903587355959327,9.36242863240574,0.38984160001354806,9.572376503356864,9.852479948916143,8.765489499138281,gAAAAABobat9chdrNkTgoTTPIX14hqWZU3WfZEvpQnMt6vA0WBb4nJhEb_fNCS7ilCR0xcbyeTPPUSKdN0EvLb3zRN94v4qajQ==,gAAAAABobat9oCp5A58TRysAlBtUasv80OiEBk_gLpkmVrQ5Cy-ArKWPKAb9Dekk-FVM9sHetXYsCbnUFedEDAQQ9MdNecTMWQ==,gAAAAABobat9XpaSYW-2opVsIiNHWOeLWZTAetLs29pNCG3_xMCMjPaDdeQUKPuv7ksIL7vIRw5HW7BvUwabOJLfGX2-_iiZBg==,gAAAAABobat9X4RTpDz0rajYobz-t59_dSjxLAN0YaXgoWQbxJ71wILMamWHlDxszNR85cs7Y5xQOs3RXbKcpy88uvVLULZjuw==,gAAAAABobat9Nn-DXz16eb0S9Ad1wSRHCxelTocl7JPAEIXy3k04bEwD4xocryJq_mhEVPFSMozwKadoaXSxBNPQTzFf-LpGtg==,gAAAAABobat9dKz7ABzoimPepPbCAUhwj7WK_--GI0gIt-dAIJmHQNH0ed8O_a3nnTGvrN8_V5Gwta90cksDZoptFKiPRmhj7Q==
E00000002,A,18-20,0,Superior,Superior,0,0,0,9,13,16,14,19,15,2,2,no,no,yes,yes,no,no,1,3,2,2,3.2726813690276377,3,P00000001,1,8.45262980200596,13.555440292969726,14.489642664559192,13.436344074423298,19.477198026279616,14.909312091699187,8.033497863757779,13.763398131393801,15.004072781266979,13.120878980932273,18.54688196858733,15.308785179775086,gAAAAABobat9iSNpvQMrOVwtAI8l4VhIcfS7U-wKiCif-DrOkVAR_VTGugSd-fyTS0oBgNEpfl4DrfZb8pX_EUA-WCkOmWTm-A==,gAAAAABobat9XeNouKif1yaa8c5EykpZpN3Ly8E2IPPwBb0hNcrDnz1INZN5igwy_cOYnG1yBNXgyaAKnV37YYo2aVE2kdUoww==,gAAAAABobat95uxf7nmVV_oCAl1kDRd2iKVBFoGBgBGyboZ5YlqMdEbDMadF9gMHrBpAihMaGcFqRsRsvNOP57l3qskaL_AhFg==,gAAAAABobat9DBZz6iQ8O4KpahBBnrYdeBFxFxQD3rV3b4fW4L1Fps_P0Zacz6babjhxym-kqOeqNmVhkqUvY7YB1IsaTvZHxQ==,gAAAAABobat9DPdeH44yVlLUhBOHiPCWkDZ8YwpfbtRvQdaz01Sh32aD5OX55ubejO46_98kvtcxYH-rS5no-QHIhgODz31WSg==,gAAAAABobat9_1-MKw4vKqTG_0LkstK--8pIDMVCyKRyoqtgHohabACuAosgCIWZS8yl5hjSFRwh3Ikg3kZx_gVOeZJiPduYzg==
E00000003,A,15-17,1,Superior,Superior,0,2,0,13,1,0,10,12,12,3,1,no,no,yes,yes,no,yes,1,3,2,4,5.0,3,P00000001,1,11.42252010727429,-1.045458470410698,-0.3587978432431362,10.866920402059574,12.075708366091016,12.759817989406692,13.981479630466954,0.28818877527578635,0.8670629966833876,9.015056088035593,11.175119778875803,12.707317637273647,gAAAAABobat9OHXWdVffCBMUzor1XDGzYCZJz2oqq5I_BUxo1-SxzLhmLwpW-dSsaPskKP0mvXRVeYX4qAG3MMQQT_kFqkeu0g==,gAAAAABobat9nWohaUdWEP9rKTrsJbBUk0K0h3YGxHcf7uoIZKLrWhClKBuW1h9Mivgke5gVRU5VnY-4unzIdz9ZHEdU57SWfw==,gAAAAABobat9eQEFxEOHZmN5kRSO_0dlbFrC0X__L7JmIpUEgjXkfcDIiCNlFzqUySOWhCkL4MAODVmXZI4D51OklHpcBznfMA==,gAAAAABobat9UtzkjAWVfaGG_2XgFxO8AOyTOftkM4KI5R1XgrDY9efNgwsRyLYM50yogMEfN03PxHCo5fpwfqU7rIUMQpHQNA==,gAAAAABobat9gvtWX9c9Sn5lNHDpXDheOnWETWLJ_15q6FI_J1FyQyQz9gMBvRhIXETZM4-0eH0nwc2pyXAPJxidIYcJlA5Gcw==,gAAAAABobat97Zi1sW508AYZ8FlauhX3JfEff76wAV0BBojMmbxExHnTgc9nQVvE3kdssJME9H2_V7GOTtk-P5D40WOg-n2wtA==
E00000004,A,15-17,0,Superior,Superior,5,0,0,12,9,12,14,16,16,3,3,no,no,yes,yes,no,yes,1,3,1,1,3.992072272023438,3,P00000001,1,11.912300437317057,9.87243425752973,12.855875447166959,15.287039326547067,16.606491031352306,14.640432546891807,11.417838621418818,8.693962796427183,11.37644665089721,14.781502578052477,16.354846572777983,16.96806874457319,gAAAAABobat9thFK72NWBikfsxciyhRigaQDFZv8Ckayhdxo1bIGTNLbM3S1_VUiFeeBy9dfPzugyZLpd__CpFM1lwhxB2BnBQ==,gAAAAABobat98-SqPx16FCg0Y4x4bi_OF1sXzX2Hn_PrpZGrubrWX_H4wOpBM5cge7MlF4402ZMp7xxBWsORCz1662CWgMAitg==,gAAAAABobat9uQUtnRVN77VM7n5mtH82zXihvIiZrwKPvUB4EpRjZZHcTGGrOONxaCpUqunFsSZEJ-O94CL5zqi07pNWDuH-mw==,gAAAAABobat9VKTFLdtFrBERMD9HSuCdthHcHJHNNpCFMaws9_uwSE30wDFYKXuODNppMqDTkEyBQtYt-4ZdN9NOwqQiWcGcAQ==,gAAAAABobat9irIgnVOjMB47Yo5YixSegH4NeQN3nLquVICER3FLZxxzjQyT0h1kO8ohJ4grHOP4CrDFgkuTetwtltSgFNZ8ug==,gAAAAABobat9UkKT8AhvsakxuHpmnSaOjp2gqfjiMafPUsHqFehpWPwHdXtY15HaJn_jMpBdksFZOGqiSV8_CbW5XY2NhMkpLQ==
E00000005,A,15-17,1,Superior,Superior,6,0,0,12,13,10,9,12,11,1,1,no,no,yes,yes,no,yes,1,2,1,1,4.990648525577466,3,P00000001,1,12.645014877576601,12.13512466270756,10.105164517455377,7.921266040484648,10.477097243489892,11.423547319965873,11.893254265967466,13.060117057725613,10.429598100237538,8.108141371913629,12.002535631980507,10.178352928450332,gAAAAABobat9HdwYIUgiWeYPGq8yAC7NsmvKwYD2htTmlway1hY0zZFbn0-JSRkmm4WzV3BMe6p9U7n3eeyl0PF4eCcRpxNo0A==,gAAAAABobat9hJHQk2PjmhclyYxaB7MX6zc4D7L5FXz0bbaH1QNyWuYbnd4FtERbWsjulxmd4SG6GJqmnbtPgbHSKdjer8jZUQ==,gAAAAABobat98nS3CDEHkyQarYnliNjZjxIIKJyOk2eos3pBAX7dDABp-QwNC_W7t7WAUuU25EVbWJ7JAimLe2Xjyxz0BXNAIg==,gAAAAABobat9Sub9C8EwQ90XgAgEpHhXVNOhalreZe0vbai2cLRxhQNSeQxhhtdmgaMwlL9IOVP9dJdJhI6_9FiLvhfx0t9prg==,gAAAAABobat9953c2Vxj5BA8LpRrURSzhjMc4ugQIlg8HBZiGrU12X_BUxak51FrzOa5m6oNuN6P6SNZaGzJAGIpDMDdsywXSA==,gAAAAABobat9_dT2m1mkUgS6X1MrLBWFG8qhI2t6qORC8wPI25WPDX28eN4zGZsQE6v88yfhHkluQxqnUF51pj4HSpBNskvp_Q==
E00000006,A,18-20,1,Superior,Superior,75,0,0,11,10,11,9,9,11,1,2,no,no,yes,yes,no,yes,2,1,1,1,4.785053145882193,1,P00000001,1,8.06286530592673,9.329609168424156,11.182844573301024,10.182491531074291,8.387955718443678,10.727410463660267,10.128686006673826,10.179727484900079,11.988066123119026,8.922098065882821,9.58316621197425,11.94722992199472,gAAAAABobat9OfesDrUKAztQfqpb0A-etTzOPsY7gtZ5hFpku6jl2azyDXakKeXNT88DlvNla5nHxiF9YGdwhr2GD96sEFQLPw==,gAAAAABobat9SHbw0xEI-oFxedxH95HVRxD8dt4ERzny0V7xXLHdhkC_-f1wf5YrRLQ-2N3hznr1MlsLo8u4dFbbsR7Uza97uA==,gAAAAABobat95sM0_hCc5sy_jU3C0Q_BrSxLc4wwNWeHTmUvGXl1OwRXTUyJo7QBLAyNLrs6K8mjQkSatLLvRrLHq9peGJtwPw==,gAAAAABobat9xmQldXWsOyd_h834-h30wdlcMrzJeYxYe5WljSyU4-hTZDrCiReVssiMxjvtG39Gw3v8UPJkb3e5ksdObnjBLA==,gAAAAABobat9JeIoQ32Qd339j-vHeXEy7OEya5qhWimVVdbl_gIg2SrcvBcTHkoFIjUOIUJjLoQGwyHmESNk9rzFKRRSLyWWOA==,gAAAAABobat9X2a23KXK2NIXyHDq3HJ1oUtT-K1UoyianbriJjahS94J2bqzlrczkyLwpMeuRMx_VEAycXFgI7Oe6UrezphyXQ==
E00000007,A,15-17,1,Superior,Superior,0,0,0,12,14,4,15,0,19,2,1,no,no,yes,yes,no,no,1,3,1,3,4.818015054981992,4,P00000001,1,12.980832985938871,14.051918207833223,1.716312876737585,15.829758925894893,1.1516024969706364,18.109158221446695,12.314711120760226,13.6621675407639,4.405988284084427,15.526942461358788,-0.203169282439142,18.501911297694694,gAAAAABobat9pVESiTuBiOdw81NnVJ8RCURCrZXWEQ9FcAfFI1wzpqsBAuPHooTSDXehEyiULt2M97iS_kxorDO0nIvQ_d1qEQ==,gAAAAABobat9Wue7ub4J_TCrwENyqfxHxOyiusp_BHFYDDysF1RMlmN_3nDAc5v9Jd0CYaENDWzGMncC-KgDPxQIwzdchmcMVg==,gAAAAABobat92zbWS_Aa6pu5vTIezTfiBZJa-bX8di8UapuTrk_Vqwf0wBu94z7f9rmmUjtC004X_1I18zMnbhSR-XkrSiPm6A==,gAAAAABobat9_t0lC2tffCs4LEIKL4cNtQXVC7f-8c6fEiPLugar2b4MfvWz7Bo0NeZ-wNdgdizBpI10qtWbEI9PievMFDO4bQ==,gAAAAABobat9MbJFhkDyR2YNhTrH3k_HybXsHt4iBNeJwKlaPodSVsfC3C-wZmDILHSrt7p6iusboA4jqrCZfaTeg9jbOqUc8A==,gAAAAABobat9qir7CO4AIVNVb-2Czmds0z0YGg2d6YVvO0DSKJNjY2mcGdo5DLIKcjrMm2dpmh4WhFO-i4s9HJDQw8udiXbCBQ==
E00000008,A,15-17,1,Superior,Superior,19,0,0,10,10,0,11,10,9,4,3,no,no,yes,yes,no,no,4,5,1,3,4.815140848715414,4,P00000001,1,9.84981100546612,8.874061095859933,0.5917256094210186,10.595729084039316,8.114937650069765,7.898439828847457,10.213184927396401,10.733809565652594,0.5213474787672763,11.23313908132878,10.101999020810155,8.608831283892226,gAAAAABobat9hxMO5PoDBbff74Cdr5ZjNFC1BG4Cy8H2gB3gwIKKjBSkVLYrSy1Epw5r-8X3d_CLjuu08TeZvWut_seySVmNCg==,gAAAAABobat9B704CjJYL9BC-y0J_-S6T5XvLxMl7GRfWQe6hM3-QBNpDJQXqK7psLJu3chqZJNfqGoGPWv_DmaNxxHoZtp3gw==,gAAAAABobat9Tam1pMi9rjmWVg1nttoKeY5KN80R2vrLZuzeJJBjMwvK9B4vucEiGzbPXBhf7dHcvPEEeY76LwzFaM8T48eVtQ==,gAAAAABobat9tgHLc70VT0kUBI_YXmlYXwRPmkNla0VhjTzHT6i-dB8VjxVmX5bcYbuUxVSU3b3-6vKaukQwqq9U97Obj6HvmA==,gAAAAABobat9IWUljWxO7YdAT0cuDgNjeWO8DXge8a121ChsItA-heNsNwMdD5-QBkQC3SgJ17iftsMnD9pDTaBlrPXXLguASQ==,gAAAAABobat9pePStzHbCbl-3gK0tXFPfHuz__2JBRpzshHzhnhhIWwA0SDgPmt62WBwljtC7t3EWUkMa8_GImvyP0QFUE_v1w==
E00000009,A,15-17,0,Superior,Superior,2,0,0,8,12,7,8,9,9,4,2,yes,no,yes,yes,no,no,1,2,2,4,4.987913646171602,3,P00000001,1,7.395721160620383,13.341356627422337,7.556124505313609,9.964833368394556,9.064352541646853,8.851597431077733,8.290969599671186,11.739854253769334,7.818965787267961,7.134664710660893,9.904374158246627,9.21915051595699,gAAAAABobat9kzy-vqGwUjmd9yRnDZmfLxpDj2aYcY0qtGwxeCn53Qydftt565kJckcCJmQhywLOsgoCtXIuo-BErPpGRf-k8g==,gAAAAABobat9_r7wRuoELkYm6nk4gFeHzvYZVoL13ELIzTwrPy5qYe-pfVFnDaOXYhQbA_IaZ77hOSiZygdcC5-wKNSivwfbYQ==,gAAAAABobat9AEznzkZp-UaUGk0aftFeQWSL5aQeZch_NPCWsH2ncViY0PCn0wuFx8sSs79IZRU8y6nDs16KwP6KzBeHuoUtVQ==,gAAAAABobat9nkzrgGgszgE50dp_zwNMC-6BDDLu7EfI0tIJOLdvXQiIIblN1zOM9sum7CyitfqOFhpC-LpDZqPk7PZ3QnJSCA==,gAAAAABobat9UqBPLhR4rv_UWEc1-ey_8qPLa5UQV3__Ixsog2ST892S2KCcj8Ad8AmNLyNdq0Ozf5G9_OqOkb6KzqEFkpKP7w==,gAAAAABobat9Ip0SXDfbGu2NeoLjLipErhJtoqLgvt75OHG-6ONOGzHQ58zGDEva1OTC8vZyTFo0qaSinThJohwFfg1XpsQ0HA==
E00000010,A,18-20,0,Superior,Superior,15,0,0,11,9,16,7,10,10,3,2,no,no,no,yes,no,yes,2,4,2,4,3.151749725652029,3,P00000001,1,11.28490559199024,6.667408284972778,15.308886477517904,5.240461376603675,7.922124244394526,8.21645518321139,11.584805088332864,8.81527603784999,15.629957873641143,6.798787448801306,9.436445897619816,9.220845558828678,gAAAAABobat90IgBClXDscWrpQQHo-SCl2kjm64Gf2MLA7TuGccji0PZuUTaOwOMOlkNtq6R9Z-2JR7QbSaZyj26LeGSTfykAA==,gAAAAABobat9WLL1bIRA-Kp1FsC01M-yZAkOvJvyBEakX95duOAbdBLFIOxCYlhpxx0PKVOZfgQrZyeYQSyWVrVaumrabazUNQ==,gAAAAABobat9Uzok8dFMr0DU9-bdKsFYqtqlvYxys3MaZqPVHudoSkiMOGkXbQ6oKXFn7jipE7s7GpZuOjbzAXkR50Gv_7AUFQ==,gAAAAABobat9lCnWk7S5VXTYmuyPiqTvhDDPDWli0qOekFL2EA0Wm3cyBVvsXpvIJMRZoYJ7TqSFyI4LNOe4KIZo8KrsqhXwCA==,gAAAAABobat9TFOCMkEJFDrRHSkL_dHHWqrSHxvA_Ml5YBPfSoun8Tx6Uo3y-Tuile6Rn2Vo4UReQ743sNIaIHQsx5144m6vOw==,gAAAAABobat970FKLiI3Zw0hpZl-JL3lFW08P2eLw4y0blglW9ITR-s9f_IwFaCQ0-uz5TIDSa5jUo5rBhnLqRl4hW_FClcsmA==
